Abreviation,64,Modern authors:,,
,,,,
AdG:,1,"DE GRAAUW, A. « Ancient Ports and Harbours, The Catalogue »,4th  ed. , Port Revel, 2014.",,
,,http://www.ancientportsantiques.com/wp-content/uploads/pdf/AncientPortsVol-I-List.pdf ,,
Arnaud:,2,"ARNAUD, P. « Les routes de la navigation antique », éd. Errance, 2005.",,
,,http://www.actes-sud.fr/catalogue/antiquite/les-routes-de-la-navigation-antique ,,
BAtlas:,3,"BARRINGTON ATLAS of the Greek and Roman World, Richard J.A. Talbert (ed.), Princeton University Press, 2000.",,
,,http://openlibrary.org/works/OL8327792W/Barrington_Atlas_of_the_Greek_and_Roman_World_(with_Map-by-Map_Directory_on_CD-ROM) ,,
Blackman:,4,"BLACKMAN, D. « Ancient harbours in the Mediterranean », International Journal of Nautical Archaeology and Underwater Exploration, 11.2 (pp 79-104) and 11.3 (pp 185-211), 1982.",,
,,http://www.worldcat.org/title/international-journal-of-nautical-archaeology-and-underwater-exploration/oclc/1037043 ,,
Bonanno:,5,"BONANNO, A.  « Malta: Phoenician, Punic, and Roman », Malta, Midsea Books Ltd, 2005",,
,,http://www.um.edu.mt/arts/classics-archaeo/staff/abpublications,,
Carayon:,6,"CARAYON, N. « Les ports phéniciens et puniques », Université de Strasbourg II, Thèse soutenue le 17/5/2008, (available on internet).",,
,,http://tel.archives-ouvertes.fr/docs/00/28/32/10/PDF/3vol.pdf ,,
Casson:,7,"CASSON, L. « The Periplus Maris Erythraei », Princeton, 1989.",,
,,http://openlibrary.org/works/OL1884449W/The_Periplus_Maris_Erythraei ,,
Casson:,8,"CASSON, L. « Ships and seamanship in the ancient world », Princeton, 1971.",,
,,http://openlibrary.org/books/OL4765636M/Ships_and_seamanship_in_the_ancient_world.,,
CG:,9,"HAZLITT, W. « The Classical Gazetteer: A dictionary of ancient geography, sacred and profane », Whittaker & co, London, 1851.",,
,,http://catalog.hathitrust.org/Record/000572520,,
Christiansen:,10,"CHRISTIANSEN, J. « Les phares et la signalisation maritime à l’époque romaine », Université Lumière (Lyon II), Mémoire de Master 2, 2011.",,
,,http://www.hisoma.mom.fr/annuaire/christiansen-jonatan ,,
Cleere:,11,"CLEERE, H. « Roman harbours in Britain south of Hadrian’s Wall », in du Plat Taylor, J. & Cleere, H. (eds), Roman Shipping and Trade: Britain and the Rhine Provinces. CBA Research Report No 24, pp36-40, 1978.",,
,,http://archaeologydataservice.ac.uk/archives/view/cba_rr/rr24.cfm ,,
Cohen:,12,"COHEN, Getzel M. « The Hellenistic settlements in Europe, the islands and Asia Minor » and « The Hellenistic settlements in Syria, the Red Sea basin and North Africa », University of California Press, 1995 and 2006.",,
,,http://openlibrary.org/works/OL3956043W/The_Hellenistic_settlements_in_Europe_the_islands_and_Asia_Minor ,,
,,http://openlibrary.org/works/OL3956044W/The_Hellenistic_settlements_in_Syria_the_Red_Sea_Basin_and_North_Africa,,
Conference 2008:,13,"CONFERENCE « ROMA 2008, Meetings between cultures in the ancient Mediterranean », Bollettino di Archeologia on line I 2010/ Volume speciale B / B7 / 1.",,
,,http://151.12.58.75/archeologia/index.php?option=com_content&view=article&id=2&Itemid=2,,
Conference 2011:,14,"CONFERENCE « Harbors and Harbor Cities in the Eastern Mediterranean from Antiquity to Byzantium. Recent Discoveries & New Approaches », Istanbul, 2011.",,
,,http://www.ahf-muenchen.de/Tagungsberichte/Berichte/pdf/2011/125-11.pdf,,
Cuisenier:,15,"CUISENIER, J. « Le Périple d'Ulysse », Paris, Fayard, 2003.",,
,,http://openlibrary.org/works/OL2205184W/Le_pe%CC%81riple_d'Ulysse ,,
de Boer:,16,"DE BOER, J. « Apollonia Pontica and its emporia, ports of trade? », Proceedings of the 9th Symposium of Vani, Presse Universitaire Franc-Comtoises, 1999.",,
,,http://catalogue.ulrls.lon.ac.uk/record=b2790452*eng ,,
de Boer & Stronk:,17,"DE BOER, J. & STRONK, J. « Two greek emporia south of Apollonia Pontica », Talanta, Proceedings of the Dutch Archaeological and Historical Society Volumes, 2000-2001.",,
,,http://www.talanta.nl/ ,,
De la Pena:,18,"PRADA, J. & DE LA PENA, J. « Maritime engineering during the Roman Republic and the early Empire » Medcoast Conference, Tarragona, 1995.",,
,,http://www.medcoast.org.tr/publications/proceedings_95.html#historical ,,
Flemming:,19,"FLEMMING, N. & WEBB, C. « Tectonic and eustatic coastal changes during the last 10 000 years derived from archaeological data», Z. Geomorph. N.F, Suppl. Bd 62, pp 1-29, Berlin, 1986",,
,,http://www.ancientportsantiques.com/wp-content/uploads/pdf/Flemming-1986.pdf,,
Flemming:,20,"FLEMMING, N. & PIRAZZOLI, P. « Archéologie des côtes de la Crète », Dossiers d'Archéologie N° 50 pp 66-81, 1981.",,
,,http://www.dossiers-archeologie.com/numero-50/ports-villes-engloutis/archeologie-cotes-crete.18881.php#article_18881 ,,
Flemming:,21,"FLEMMING, N.  « Cities in the Sea », Doubleday & co, New York, 1971.",,
,,http://www.amazon.com/Cities-Sea-Nicholas-C-Flemming/dp/B003D8RTQE,,
Forster:,22,"FORSTER, C. « The historical geography of Arabia », London, 1844.",,
,,http://openlibrary.org/books/OL7116968M/The_historical_geography_of_Arabia ,,
Franco:,23,"FRANCO, L. « Ancient Mediterranean harbours : a heritage to preserve », Ocean & Coastal Management, vol 30, Nos 2-3, pp 115-151, Elsevier Science Ltd, 1996.",,
,,http://www.sciencedirect.com/science/article/pii/0964569195000623 ,,
Franco:,24,"NOLI, A. & FRANCO, L. « The ancient ports of Rome: new insights from engineers », Archaeologia Maritima Mediterranea, 6, 2009.",,
,,http://www.libraweb.net/articoli.php?chiave=200904501&rivista=45 ,,
Frost:,25,"FROST, H. « Under the Mediterranean, Marine antiquities », Routledge and Kegan Paul Ltd, London, 1963",,
,,http://openlibrary.org/works/OL6881397W/Under_the_Mediterranean ?,,
Gadhoum:,26,"GADHOUM, A. « Etude des ports et des sites côtiers antiques de la côte orientale de la Tunisie», Thèse de doctorat, Université Aix-Marseille, 2010",,
,,no link,,
Garcia:,27,"GARCIA, D. « Le port de Lattara : premiers acquis que les places préromaines et romaines » Gallia 65, CNRS, Paris, 2008",,
,,http://syslat.on-rev.com/gallia/10.pdf ,,
Goddio:,28,"GODDIO, F. « Alexandrie - Les Quartiers Royaux Submergés », éd. Périplus Ltd, London, 1998.",,
,,http://openlibrary.org/works/OL2108895W/Alexandria ,,
Grenier:,29,"GRENIER, A. « Manuel d’archéologie gallo-romaine, Deuxième partie : l’archéologie du sol, Volume 2 : Navigation, Occupation du sol », éd. Auguste Picard, Paris, 1934.",,
,,http://openlibrary.org/works/OL1437924W/Manuel_d'arch%C3%A9ologie_gallo-romaine_tome_2 ,,
,,http://www.ancientportsantiques.com/wp-content/uploads/pdf/Grenier-1934.pdf,,
Guery:,30,"GUERY, R. « Le port antique de Marseille », Collection Etudes Massaliètes, 3, pp. 109-121, 1992.",,
,,http://1.static.e-corpus.org/download/notice_file/566482/Etudes%20Massalietes%203%20-%20pp.109-121.pdf.,,
Hampsa:,31,"HAMPSA, H. « I porti antichi di Creta », Thèse de doctorat de l’Université de Salerne, 2006.",,
,,http://www.bcin.ca/Interface/openbcin.cgi?submit=submit&Chinkey=428945 ,,
Hannestad:,32,"HANNESTAD, L. & STOLBA V. & ŠČEGLOV A. « Panskoye I. Vol. 1, The Monumental Building U6 », Aarhus University Press, 2002.",,
,,http://www.pontos.dk/publications/books/panskoye-1-vol-1-the-monumental-building-u6 ,,
Jehasse:,33,"JEHASSE, O. & NUCCI, F. « Les Voies romaines de Corse », Labiana/IDIM de l’Université de Corse, 2000.",,
,,http://www.unionecorsa.fr/UC/DocumentsPatrimoineCulture/voies_romaines.pdf ,,
Jondet:,34,"JONDET, G. « Les ports submergés de l’ancienne île de Pharos », Mémoires présentés à l’institut égyptien, Tome IX, Le Caire, 1916.",,
,,http://www.ancientportsantiques.com/wp-content/uploads/pdf/Jondet-1916.pdf ,,
Keay:,35,"KEAY, S. & MILLETT, M. « Portus in Context », Portus, an archaeological survey of the port of imperial Rome, The British School at Rome, 2005.",,
,,http://eprints.soton.ac.uk/40602/ ,,
Körpe:,36,"KÖRPE, R. « Antik Gelibolu Yarımadası'nın limanları: Yeni buluntular ve arastırmalar », Harbors and Harbor Cities in the Eastern Mediterranean from Antiquity to Byzantium, Istanbul, 2011.",,
,,http://www.ahf-muenchen.de/Tagungsberichte/Berichte/pdf/2011/125-11.pdf ,,
Lehmann:,37,"LEHMANN-HARTLEBEN, K. « Die antiken Hafenanlagen des Mittelmeeres », Klio, Beihefte 14, 1923.",,
,,http://openlibrary.org/books/OL19529646M/Die_antiken_Hafenanlagen_des_Mittelmeeres ,,
,,http://www.ancientportsantiques.com/wp-content/uploads/pdf/Lehmann-Hartleben-1923.pdf,,
Lendering:,38,"Jona LENDERING, « LIVIUS, Articles on Ancient History », Amsterdam University, continuous publishing on his web site",,
,,http://www.livius.org/,,
Loven:,39,"LOVEN, B. « The Ancient Harbours of the Piraeus, Vol. I. The Zea Shipsheds and slipways », Monographs of the Danish Institute at Athens, Vol 15, 1, 2011.",,
,,http://www.zeaharbourproject.dk/2012/01/%E2%80%98volume-i%E2%80%99-published/ ,,
Marriner:,40,"MARRINER, N. « Géoarchéologie des ports antiques du Liban », l’Harmattan, Paris, 2009.",,
,,http://openlibrary.org/books/OL23730349M/Geoarchaeology_of_Lebanon's_ancient_harbours,,
Mattei:,41,"MATTEI, M. « Observations sur le Cap Corse de la carte de Ptolémée », A Cronica, octobre 2001.",,
,,http://mairie.barrettali.free.fr/MM/mm9/mm9.htm ,,
